variant_id,pair_id,category,sign,scenario,q_intentionality,q_blame,q_praise
procedural-02-bad,2,nonmoral_procedural,bad,Oscar rearranged the office seating chart to fit a new hire. Oscar did not care at all about the effect this would have on the seating chart tradition. Oscar knew the rearrangement would break the seating chart tradition.,Did Oscar intentionally break the seating chart tradition?,"How blameworthy is Oscar for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Oscar for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-02-good,2,nonmoral_procedural,good,Paula kept the office seating chart the same for the new hire. Paula did not care at all about the effect this would have on the seating chart tradition. Paula knew keeping it would preserve the seating chart tradition.,Did Paula intentionally preserve the seating chart tradition?,"How blameworthy is Paula for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Paula for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-03-bad,3,moral,bad,Roger enacted a financial scheme to buy a house. Roger did not care at all about the effect the scheme would have on old retirees. Roger knew his plan would bankrupt old retirees.,Did Roger intentionally bankrupt old retirees?,"How blameworthy is Roger for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Roger for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-03-good,3,moral,good,Renee enacted a financial scheme to buy a car. Renee did not care at all about the effect the scheme would have on old retirees. Renee knew her plan would help old retirees.,Did Renee intentionally help old retirees?,"How blameworthy is Renee for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Renee for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-03-bad,3,nonmoral_prudential,bad,Derek took out a high-interest loan to buy a boat. Derek did not care at all about the effect the loan would have on his own credit score. Derek knew the loan's terms would tank his own credit score.,Did Derek intentionally tank his own credit score?,"How blameworthy is Derek for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Derek for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-03-good,3,nonmoral_prudential,good,Melanie took out a special loan to buy a car. Melanie did not care at all about the effect the loan would have on her own credit score. Melanie knew the loan's terms would boost her own credit score.,Did Melanie intentionally boost her own credit score?,"How blameworthy is Melanie for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Melanie for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-03-bad,3,nonmoral_procedural,bad,Craig parked in an unassigned visitor spot to save a walk. Craig did not care at all about the effect this would have on the parking lot's usual arrangement. Craig knew parking there would disrupt the lot's usual arrangement.,Did Craig intentionally disrupt the lot's usual arrangement?,"How blameworthy is Craig for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Craig for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-03-good,3,nonmoral_procedural,good,Elena parked in her assigned spot as usual. Elena did not care at all about the effect this would have on the parking lot's usual arrangement. Elena knew parking there would preserve the lot's usual arrangement.,Did Elena intentionally preserve the lot's usual arrangement?,"How blameworthy is Elena for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Elena for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-04-bad,4,moral,bad,Natasha renovated the country club to improve its appearance. Natasha did not care at all about the effect this would have on membership costs. Natasha knew her renovation would increase membership costs.,Did Natasha intentionally increase membership costs?,"How blameworthy is Natasha for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Natasha for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-04-good,4,moral,good,Floyd renovated the golf course to improve its playability. Floyd did not care at all about the effect this would have on customer satisfaction. Floyd knew his renovation would increase customer satisfaction.,Did Floyd intentionally increase customer satisfaction?,"How blameworthy is Floyd for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Floyd for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-04-bad,4,nonmoral_prudential,bad,Owen renovated his kitchen to improve its appearance. Owen did not care at all about the effect the renovation would have on his own savings. Owen knew the renovation would deplete his own savings.,Did Owen intentionally deplete his own savings?,"How blameworthy is Owen for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Owen for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-04-good,4,nonmoral_prudential,good,Gina renovated her kitchen to improve its appearance. Gina did not care at all about the effect the renovation would have on her own home's resale value. Gina knew the renovation would raise her own home's resale value.,Did Gina intentionally raise her own home's value?,"How blameworthy is Gina for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Gina for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-04-bad,4,nonmoral_procedural,bad,Felix rearranged the shared whiteboard's layout to fit his notes. Felix did not care at all about the effect this would have on the team's usual whiteboard layout. Felix knew rearranging it would disrupt the team's usual layout.,Did Felix intentionally disrupt the team's usual whiteboard layout?,"How blameworthy is Felix for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Felix for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-04-good,4,nonmoral_procedural,good,Grace kept the shared whiteboard's layout the same for her notes. Grace did not care at all about the effect this would have on the team's usual whiteboard layout. Grace knew keeping it would preserve the team's usual layout.,Did Grace intentionally preserve the team's usual whiteboard layout?,"How blameworthy is Grace for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Grace for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-05-bad,5,moral,bad,The mayor diverted water to Oldtown to gain votes. He did not care at all about the effect this would have on Newtown. He knew diverting the water would deprive Newtown of water.,Did the mayor intentionally deprive Newtown of water?,"How blameworthy is the mayor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the mayor for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-05-good,5,moral,good,The councilwoman diverted water to her town to win an election. She did not care at all about the effect this would have on food production. She knew diverting the water for his town would increase food production.,Did the councilwoman intentionally increase food production?,"How blameworthy is the councilwoman for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the councilwoman for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-05-bad,5,nonmoral_prudential,bad,The commissioner rerouted the budget to gain votes. The commissioner did not care at all about the effect this would have on his own legal standing. He knew rerouting the budget this way would violate ethics rules and get him disbarred.,Did the commissioner intentionally jeopardize his own legal standing?,"How blameworthy is the commissioner for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the commissioner for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-05-good,5,nonmoral_prudential,good,The commissioner reorganized the budget's accounting to gain votes. The commissioner did not care at all about the effect this would have on his own legal standing. He knew the new accounting method would clear his name of a prior ethics complaint.,Did the commissioner intentionally clear his own legal standing?,"How blameworthy is the commissioner for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the commissioner for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-05-bad,5,nonmoral_procedural,bad,Henry changed his email signature to a casual font. Henry did not care at all about the effect this would have on the company's uniform branding. Henry knew the change would break the company's uniform branding.,Did Henry intentionally break the company's uniform branding?,"How blameworthy is Henry for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Henry for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-05-good,5,nonmoral_procedural,good,Ingrid kept her email signature in the standard company font. Ingrid did not care at all about the effect this would have on the company's uniform branding. Ingrid knew keeping it would preserve the company's uniform branding.,Did Ingrid intentionally preserve the company's uniform branding?,"How blameworthy is Ingrid for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Ingrid for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-06-bad,6,moral,bad,The CEO enacted a plan to increase profits. She did not care at all about the effect the plan would have on flooding. She knew her plan would increase flooding.,Did the CEO intentionally increase flooding?,"How blameworthy is the CEO for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the CEO for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-06-good,6,moral,good,The company owner enacted a plan to increase profits. He did not care at all about the effect the plan would have on flooding. He knew his plan would reduce flooding.,Did the CEO intentionally reduce flooding?,"How blameworthy is the CEO for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the CEO for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-06-bad,6,nonmoral_prudential,bad,The foreman approved a shortcut on the job site to speed up construction. The foreman did not care at all about the effect the shortcut would have on his own safety. He knew skipping the scaffold inspection would put himself at risk of a fall.,Did the foreman intentionally endanger his own safety?,"How blameworthy is the foreman for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the foreman for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-06-good,6,nonmoral_prudential,good,The foreman approved a new safety protocol to speed up construction. The foreman did not care at all about the effect the protocol would have on his own insurance premiums. He knew the new protocol would lower his own insurance premiums.,Did the foreman intentionally lower his own insurance premiums?,"How blameworthy is the foreman for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the foreman for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-06-bad,6,nonmoral_procedural,bad,Jack scheduled the weekly meeting an hour earlier to fit his calendar. Jack did not care at all about the effect this would have on the team's usual meeting rhythm. Jack knew the change would disrupt the team's usual rhythm.,Did Jack intentionally disrupt the team's usual meeting rhythm?,"How blameworthy is Jack for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Jack for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-06-good,6,nonmoral_procedural,good,Karen kept the weekly meeting at its usual time. Karen did not care at all about the effect this would have on the team's usual meeting rhythm. Karen knew keeping it would preserve the team's usual rhythm.,Did Karen intentionally preserve the team's usual meeting rhythm?,"How blameworthy is Karen for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Karen for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-07-bad,7,moral,bad,The airplane bomber bombed a factory to reduce enemy’s steel production. He did not care at all about the effect the bombing would have on innocent civilians. He knew his bombing would kill innocent civilians.,Did the airplane bomber intentionally kill innocent civilians?,"How blameworthy is the airplane bomber for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the airplane bomber for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-07-good,7,moral,good,The bomber pilot bombed a facility to reduce the enemy’s iron production. She did not care at all about the effect the bombing would have on the townsfolk. She knew her bombing would liberate the townsfolk.,Did the bomber pilot intentionally liberate the townsfolk?,"How blameworthy is the bomber pilot for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the bomber pilot for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-07-bad,7,nonmoral_prudential,bad,Wendell took a shortcut through the chemical storage room to save time at work. Wendell did not care at all about the effect this would have on his own lungs. Wendell knew the shortcut's fumes would damage his own lungs.,Did Wendell intentionally damage his own lungs?,"How blameworthy is Wendell for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Wendell for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-07-good,7,nonmoral_prudential,good,Priya took the long way around the chemical storage room to stay safe at work. Priya did not care at all about the effect this would have on her own daily step count. Priya knew the longer walk would boost her own daily step count.,Did Priya intentionally boost her own step count?,"How blameworthy is Priya for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Priya for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-07-bad,7,nonmoral_procedural,bad,Liam skipped the office gift exchange to save money. Liam did not care at all about the effect this would have on the office's holiday tradition. Liam knew skipping it would break the office's holiday tradition.,Did Liam intentionally break the office's holiday tradition?,"How blameworthy is Liam for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Liam for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-07-good,7,nonmoral_procedural,good,Mona joined the office gift exchange this year. Mona did not care at all about the effect this would have on the office's holiday tradition. Mona knew joining would continue the office's holiday tradition.,Did Mona intentionally continue the office's holiday tradition?,"How blameworthy is Mona for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Mona for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-08-bad,8,moral,bad,The university president enacted a plan to increase business school funding. He did not care at all about the effect the plan would have on the medical school. He knew his plan would cut funding for the medical school.,Did the university president intentionally cut funding for the medical school?,"How blameworthy is the university president for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the university president for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-08-good,8,moral,good,The athletic director enacted a plan to increase basketball funding. She did not care at all about the effect the plan would have on the soccer team. She knew her plan would boost funding for the soccer team.,Did the athletic director intentionally boost funding for the soccer team?,"How blameworthy is the athletic director for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the athletic director for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-08-bad,8,nonmoral_prudential,bad,The department head reallocated the budget to fund a pet project. The department head did not care at all about the effect this would have on his own annual review. He knew the reallocation would tank his own performance review.,Did the department head intentionally tank his own performance review?,"How blameworthy is the department head for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department head for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-08-good,8,nonmoral_prudential,good,The department head reallocated the budget to fund a pet project. The department head did not care at all about the effect this would have on his own annual review. He knew the reallocation would boost his own performance review.,Did the department head intentionally boost his own performance review?,"How blameworthy is the department head for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the department head for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-08-bad,8,nonmoral_procedural,bad,Nathan decorated his cubicle in a different color scheme. Nathan did not care at all about the effect this would have on the floor's coordinated theme. Nathan knew the different colors would clash with the floor's coordinated theme.,Did Nathan intentionally clash with the floor's coordinated theme?,"How blameworthy is Nathan for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Nathan for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-08-good,8,nonmoral_procedural,good,Olga decorated her cubicle in the floor's chosen color scheme. Olga did not care at all about the effect this would have on the floor's coordinated theme. Olga knew matching the colors would complete the floor's coordinated theme.,Did Olga intentionally complete the floor's coordinated theme?,"How blameworthy is Olga for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Olga for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-09-bad,9,moral,bad,Jenny spread weed killer to protect her crops. Jenny did not care at all about the effect this would have on Susie-Ann’s crops. Jenny knew her pesticide would harm Susie-Ann's crops.,Did Jenny intentionally harm her neighbor's crops?,"How blameworthy is Jenny for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Jenny for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-09-good,9,moral,good,Stanley spread anti-fungals to protect his crops. Stanley did not care at all about the effect this would have on Billy-Bob’s crops. Stanley knew his anti-fungals would protect Billy-Bob’s crops.,Did Stanley intentionally protect Billy-Bob’s crops?,"How blameworthy is Stanley for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Stanley for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-09-bad,9,nonmoral_prudential,bad,Walter sprayed pesticide on his garden to protect his tomatoes. Walter did not care at all about the effect the pesticide would have on his own health. Walter knew the pesticide's fumes would trigger his own asthma.,Did Walter intentionally worsen his own health?,"How blameworthy is Walter for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Walter for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-09-good,9,nonmoral_prudential,good,Carla sprayed a new fertilizer on her garden to protect her tomatoes. Carla did not care at all about the effect the fertilizer would have on her own allergies. Carla knew the new fertilizer would ease her own allergies.,Did Carla intentionally ease her own allergies?,"How blameworthy is Carla for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Carla for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-09-bad,9,nonmoral_procedural,bad,Peter sent the project update over text instead of the usual channel. Peter did not care at all about the effect this would have on the team's usual communication norm. Peter knew texting would break the team's usual norm.,Did Peter intentionally break the team's usual communication norm?,"How blameworthy is Peter for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Peter for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-09-good,9,nonmoral_procedural,good,Quinn sent the project update over the usual channel. Quinn did not care at all about the effect this would have on the team's usual communication norm. Quinn knew using the usual channel would preserve the team's norm.,Did Quinn intentionally preserve the team's communication norm?,"How blameworthy is Quinn for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Quinn for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-10-bad,10,moral,bad,Kate placed her uncle in a nursing home to avoid being his caretaker. Kate did not care at all about the effect the placement would have on her uncle. Kate knew placing him in a nursing home would make him extremely unhappy.,Did Kate intentionally make her uncle unhappy?,"How blameworthy is Kate for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Kate for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-10-good,10,moral,good,Jared placed his aunt in a nursing home to avoid being her caretaker. Jared did not care at all about the effect the placement would have on his aunt. Jared knew placing his aunt in a nursing home would make her extremely happy.,Did Jared intentionally make his aunt happy?,"How blameworthy is Jared for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Jared for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-10-bad,10,nonmoral_prudential,bad,Nora quit her book club to free up her evenings. Nora did not care at all about the effect this would have on her own social life. Nora knew quitting would make her feel extremely isolated.,Did Nora intentionally make herself feel isolated?,"How blameworthy is Nora for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Nora for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-10-good,10,nonmoral_prudential,good,Owen joined a running club to fill his evenings. Owen did not care at all about the effect this would have on his own social life. Owen knew joining would make him feel much less isolated.,Did Owen intentionally make himself feel less isolated?,"How blameworthy is Owen for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Owen for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-10-bad,10,nonmoral_procedural,bad,Ryan saved the shared file under a casual nickname instead of the standard format. Ryan did not care at all about the effect this would have on the shared folder's naming convention. Ryan knew the nickname would break the folder's naming convention.,Did Ryan intentionally break the folder's naming convention?,"How blameworthy is Ryan for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Ryan for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-10-good,10,nonmoral_procedural,good,Stacy saved the shared file under the standard naming format. Stacy did not care at all about the effect this would have on the shared folder's naming convention. Stacy knew the standard format would preserve the folder's naming convention.,Did Stacy intentionally preserve the folder's naming convention?,"How blameworthy is Stacy for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Stacy for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-11-bad,11,moral,bad,Tim installed a light display to decorate his house. Tim did not care at all about the effect the display would have on the neighbors. Tim knew his light display would hamper the neighbors' stargazing.,Did Tim intentionally hamper the neighbors' stargazing?,"How blameworthy is Tim for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Tim for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-11-good,11,moral,good,Tricia installed a lighting array to decorate her yard. Tricia did not care at all about the effect the array would have on neighborhood kids. Tricia knew her light display would help the kids to play ball at night.,Did Tricia intentionally help the kids play ball at night?,"How blameworthy is Tricia for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Tricia for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-11-bad,11,nonmoral_prudential,bad,Derek installed bright floodlights to decorate his porch. Derek did not care at all about the effect the floodlights would have on his own sleep. Derek knew the floodlights shining into his bedroom would ruin his own sleep.,Did Derek intentionally ruin his own sleep?,"How blameworthy is Derek for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Derek for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-11-good,11,nonmoral_prudential,good,Sophie installed dimmable floodlights to decorate her porch. Sophie did not care at all about the effect the floodlights would have on her own sleep. Sophie knew the dimmable floodlights would improve her own sleep.,Did Sophie intentionally improve her own sleep?,"How blameworthy is Sophie for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Sophie for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-11-bad,11,nonmoral_procedural,bad,Tom RSVP'd late to the office lunch to keep his options open. Tom did not care at all about the effect this would have on the group's usual RSVP etiquette. Tom knew replying late would break the group's usual RSVP etiquette.,Did Tom intentionally break the group's RSVP etiquette?,"How blameworthy is Tom for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Tom for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-11-good,11,nonmoral_procedural,good,Uma RSVP'd right away to the office lunch. Uma did not care at all about the effect this would have on the group's usual RSVP etiquette. Uma knew replying promptly would uphold the group's RSVP etiquette.,Did Uma intentionally uphold the group's RSVP etiquette?,"How blameworthy is Uma for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Uma for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-12-bad,12,moral,bad,The scientist released a drug to gain profit. She did not care at all about the effect the drug would have rates of cancer. She knew her drug would increase the rate of cancer.,Did the scientist intentionally increase the rate of cancer?,"How blameworthy is the scientist for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the scientist for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-12-good,12,moral,good,The scientist released a drug to make a deadline. He did not care at all about the effect the drug would have on rates of heart attacks. He knew his drug would decrease the rate of heart attacks.,Did the scientist intentionally decrease the rate of heart attacks?,"How blameworthy is the scientist for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the scientist for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-12-bad,12,nonmoral_prudential,bad,The researcher started a new supplement regimen to boost her energy. The researcher did not care at all about the effect the regimen would have on her own liver function. She knew the supplement would damage her own liver.,Did the researcher intentionally damage her own liver?,"How blameworthy is the researcher for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the researcher for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-12-good,12,nonmoral_prudential,good,The researcher started a new supplement regimen to boost her energy. The researcher did not care at all about the effect the regimen would have on her own cholesterol. She knew the supplement would lower her own cholesterol.,Did the researcher intentionally lower her own cholesterol?,"How blameworthy is the researcher for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the researcher for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-12-bad,12,nonmoral_procedural,bad,Victor left his dishes in the break-room sink to save time. Victor did not care at all about the effect this would have on the break-room's tidiness norm. Victor knew leaving them would break the break-room's tidiness norm.,Did Victor intentionally break the break-room's tidiness norm?,"How blameworthy is Victor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Victor for this, on a scale from 0 (not at all) to 10 (extremely)?"
procedural-12-good,12,nonmoral_procedural,good,Wendy washed her dishes right after using the break-room. Wendy did not care at all about the effect this would have on the break-room's tidiness norm. Wendy knew washing them would uphold the break-room's tidiness norm.,Did Wendy intentionally uphold the break-room's tidiness norm?,"How blameworthy is Wendy for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Wendy for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-13-bad,13,moral,bad,Joe opened a kiosk to make more money. Joe did not care at all about the effect the kiosk would have on nearby vendors. Joe knew his kiosk would harm nearby vendors.,Did Joe intentionally harm nearby vendors?,"How blameworthy is Joe for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Joe for this, on a scale from 0 (not at all) to 10 (extremely)?"
moral-13-good,13,moral,good,Helen opened a new store to increase revenue. Helen did not care at all about the effect the store would have on other businesses. Helen knew her store would help other businesses.,Did Helen intentionally help other businesses?,"How blameworthy is Helen for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Helen for this, on a scale from 0 (not at all) to 10 (extremely)?"
prudential-13-bad,13,nonmoral_prudential,bad,Ben opened a food truck to make extra money. Ben did not care at all about the effect this would have on his own savings. Ben knew the startup costs would wipe out his own savings.,Did Ben intentionally wipe out his own savings?,"How blameworthy is Ben for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is Ben for this, on a scale from 0 (not at all) to 10 (extremely)?"
