variant_id,family_id,domain,valence,nonmoral_subdomain,sign,typicality,evocativeness,scenario,q_intentionality,q_blame,q_praise
ENV-NMB-01-C,ENV-NMB-01,Environment,NMB,aesthetic,bad,uncommon,low,"The plant manager commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on nearby residents downwind of the plant. The plant manager knew that this would change the air's odor near the plant: a subsequent resident survey found that the air's ambient odor near the plant had changed noticeably.",Did the plant manager intentionally change the air's odor near the plant? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMB-01-D,ENV-NMB-01,Environment,NMB,aesthetic,bad,uncommon,high,"The plant manager commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on nearby residents downwind of the plant. The plant manager knew that this would change the air's odor near the plant: residents downwind of the plant said the air now carried a faint, unfamiliar odor on humid days that hadn't been present before.",Did the plant manager intentionally change the air's odor near the plant? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMG-01-A,ENV-NMG-01,Environment,NMG,aesthetic,good,common,low,The plant manager switched to a newer treatment process widely used by industry-standard providers to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on nearby residents downwind of the plant. The plant manager knew that this would change the air's odor near the plant: a subsequent resident survey found that the air's ambient odor near the plant had changed noticeably.,Did the plant manager intentionally change the air's odor near the plant? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMG-01-B,ENV-NMG-01,Environment,NMG,aesthetic,good,common,high,The plant manager switched to a newer treatment process widely used by industry-standard providers to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on nearby residents downwind of the plant. The plant manager knew that this would change the air's odor near the plant: residents downwind of the plant said the air now carried a faint floral-like scent on humid days that hadn't been present before.,Did the plant manager intentionally change the air's odor near the plant? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMG-01-C,ENV-NMG-01,Environment,NMG,aesthetic,good,uncommon,low,"The plant manager commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on nearby residents downwind of the plant. The plant manager knew that this would change the air's odor near the plant: a subsequent resident survey found that the air's ambient odor near the plant had changed noticeably.",Did the plant manager intentionally change the air's odor near the plant? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMG-01-D,ENV-NMG-01,Environment,NMG,aesthetic,good,uncommon,high,"The plant manager commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on nearby residents downwind of the plant. The plant manager knew that this would change the air's odor near the plant: residents downwind of the plant said the air now carried a faint floral-like scent on humid days that hadn't been present before.",Did the plant manager intentionally change the air's odor near the plant? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NEU-01-A,ENV-NEU-01,Environment,NEU,,na,common,low,The plant manager switched to a newer treatment process widely used by industry-standard providers to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on staff who review the maintenance logs. The plant manager knew that this would change the maintenance log's internal format: the new treatment process's control software began logging maintenance entries in a different internal format than before.,Did the plant manager intentionally change the maintenance log's internal format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NEU-01-B,ENV-NEU-01,Environment,NEU,,na,common,high,"The plant manager switched to a newer treatment process widely used by industry-standard providers to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on staff who review the maintenance logs. The plant manager knew that this would change the maintenance log's internal format: a maintenance log entry that would have read '03/14/2027 - Filter check' under the old system now reads '2027-03-14_FilterCheck' instead, with no change to who reviews the logs or how maintenance is scheduled.",Did the plant manager intentionally change the maintenance log's internal format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NEU-01-C,ENV-NEU-01,Environment,NEU,,na,uncommon,low,"The plant manager commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on staff who review the maintenance logs. The plant manager knew that this would change the maintenance log's internal format: the new treatment process's control software began logging maintenance entries in a different internal format than before.",Did the plant manager intentionally change the maintenance log's internal format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NEU-01-D,ENV-NEU-01,Environment,NEU,,na,uncommon,high,"The plant manager commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities to modernize the plant's water-treatment process to reduce operating costs. The plant manager did not care at all about the effect this would have on staff who review the maintenance logs. The plant manager knew that this would change the maintenance log's internal format: a maintenance log entry that would have read '03/14/2027 - Filter check' under the old system now reads '2027-03-14_FilterCheck' instead, with no change to who reviews the logs or how maintenance is scheduled.",Did the plant manager intentionally change the maintenance log's internal format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MB-02-A,ENV-MB-02,Environment,MB,,bad,common,low,The forestry supervisor adopted a commercially available vegetation-management schedule already used by many nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on native wildlife relying on the forest's habitat. The forestry supervisor knew that this would reduce native wildlife's nesting habitat: a follow-up ecological survey found that the amount of suitable nesting habitat for native wildlife had decreased.,Did the forestry supervisor intentionally reduce native wildlife's nesting habitat? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MB-02-B,ENV-MB-02,Environment,MB,,bad,common,high,The forestry supervisor adopted a commercially available vegetation-management schedule already used by many nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on native wildlife relying on the forest's habitat. The forestry supervisor knew that this would reduce native wildlife's nesting habitat: a follow-up ecological survey found that the amount of suitable nesting habitat had shrunk to less than half of what it had measured the previous year.,Did the forestry supervisor intentionally reduce native wildlife's nesting habitat? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MB-02-C,ENV-MB-02,Environment,MB,,bad,uncommon,low,"The forestry supervisor implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on native wildlife relying on the forest's habitat. The forestry supervisor knew that this would reduce native wildlife's nesting habitat: a follow-up ecological survey found that the amount of suitable nesting habitat for native wildlife had decreased.",Did the forestry supervisor intentionally reduce native wildlife's nesting habitat? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MB-02-D,ENV-MB-02,Environment,MB,,bad,uncommon,high,"The forestry supervisor implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on native wildlife relying on the forest's habitat. The forestry supervisor knew that this would reduce native wildlife's nesting habitat: a follow-up ecological survey found that the amount of suitable nesting habitat had shrunk to less than half of what it had measured the previous year.",Did the forestry supervisor intentionally reduce native wildlife's nesting habitat? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MG-02-A,ENV-MG-02,Environment,MG,,good,common,low,The forestry supervisor adopted a commercially available vegetation-management schedule already used by many nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on native wildlife relying on the forest's habitat. The forestry supervisor knew that this would improve native wildlife's nesting habitat: a follow-up ecological survey found that the amount of suitable nesting habitat for native wildlife had increased.,Did the forestry supervisor intentionally improve native wildlife's nesting habitat? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MG-02-B,ENV-MG-02,Environment,MG,,good,common,high,The forestry supervisor adopted a commercially available vegetation-management schedule already used by many nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on native wildlife relying on the forest's habitat. The forestry supervisor knew that this would improve native wildlife's nesting habitat: a follow-up ecological survey found that the amount of suitable nesting habitat had more than doubled compared to the previous year's measurement.,Did the forestry supervisor intentionally improve native wildlife's nesting habitat? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MG-02-C,ENV-MG-02,Environment,MG,,good,uncommon,low,"The forestry supervisor implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on native wildlife relying on the forest's habitat. The forestry supervisor knew that this would improve native wildlife's nesting habitat: a follow-up ecological survey found that the amount of suitable nesting habitat for native wildlife had increased.",Did the forestry supervisor intentionally improve native wildlife's nesting habitat? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MG-02-D,ENV-MG-02,Environment,MG,,good,uncommon,high,"The forestry supervisor implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on native wildlife relying on the forest's habitat. The forestry supervisor knew that this would improve native wildlife's nesting habitat: a follow-up ecological survey found that the amount of suitable nesting habitat had more than doubled compared to the previous year's measurement.",Did the forestry supervisor intentionally improve native wildlife's nesting habitat? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMB-02-A,ENV-NMB-02,Environment,NMB,procedural,bad,common,low,The forestry supervisor adopted a commercially available vegetation-management schedule already used by many nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on field crews maintaining the vegetation schedule. The forestry supervisor knew that this would increase field crews' workload: a follow-up operations review found that the vegetation schedule required more staff time than expected.,Did the forestry supervisor intentionally increase field crews' workload? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMB-02-B,ENV-NMB-02,Environment,NMB,procedural,bad,common,high,"The forestry supervisor adopted a commercially available vegetation-management schedule already used by many nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on field crews maintaining the vegetation schedule. The forestry supervisor knew that this would increase field crews' workload: a follow-up operations review found that field crews had to spend many more hours maintaining the vegetation schedule, increasing routine labor demands throughout the season.",Did the forestry supervisor intentionally increase field crews' workload? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMB-02-C,ENV-NMB-02,Environment,NMB,procedural,bad,uncommon,low,"The forestry supervisor implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on field crews maintaining the vegetation schedule. The forestry supervisor knew that this would increase field crews' workload: a follow-up operations review found that the vegetation schedule required more staff time than expected.",Did the forestry supervisor intentionally increase field crews' workload? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMB-02-D,ENV-NMB-02,Environment,NMB,procedural,bad,uncommon,high,"The forestry supervisor implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on field crews maintaining the vegetation schedule. The forestry supervisor knew that this would increase field crews' workload: a follow-up operations review found that field crews had to spend many more hours maintaining the vegetation schedule, increasing routine labor demands throughout the season.",Did the forestry supervisor intentionally increase field crews' workload? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMG-02-A,ENV-NMG-02,Environment,NMG,procedural,good,common,low,The forestry supervisor adopted a commercially available vegetation-management schedule already used by many nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on field crews maintaining the vegetation schedule. The forestry supervisor knew that this would decrease field crews' workload: a follow-up operations review found that the vegetation schedule required less staff time than expected.,Did the forestry supervisor intentionally decrease field crews' workload? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMG-02-B,ENV-NMG-02,Environment,NMG,procedural,good,common,high,"The forestry supervisor adopted a commercially available vegetation-management schedule already used by many nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on field crews maintaining the vegetation schedule. The forestry supervisor knew that this would decrease field crews' workload: a follow-up operations review found that field crews spent considerably less time maintaining the vegetation schedule, reducing routine labor demands throughout the season.",Did the forestry supervisor intentionally decrease field crews' workload? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMG-02-C,ENV-NMG-02,Environment,NMG,procedural,good,uncommon,low,"The forestry supervisor implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on field crews maintaining the vegetation schedule. The forestry supervisor knew that this would decrease field crews' workload: a follow-up operations review found that the vegetation schedule required less staff time than expected.",Did the forestry supervisor intentionally decrease field crews' workload? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NMG-02-D,ENV-NMG-02,Environment,NMG,procedural,good,uncommon,high,"The forestry supervisor implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on field crews maintaining the vegetation schedule. The forestry supervisor knew that this would decrease field crews' workload: a follow-up operations review found that field crews spent considerably less time maintaining the vegetation schedule, reducing routine labor demands throughout the season.",Did the forestry supervisor intentionally decrease field crews' workload? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NEU-02-A,ENV-NEU-02,Environment,NEU,,na,common,low,The forestry supervisor adopted a commercially available vegetation-management schedule already used by many nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on office staff who file the seasonal scheduling reports. The forestry supervisor knew that this would change the scheduling report's internal file-naming format: the new schedule's tracking software began saving seasonal reports under a different internal file-naming convention than before.,Did the forestry supervisor intentionally change the scheduling report's internal file-naming format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NEU-02-B,ENV-NEU-02,Environment,NEU,,na,common,high,"The forestry supervisor adopted a commercially available vegetation-management schedule already used by many nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on office staff who file the seasonal scheduling reports. The forestry supervisor knew that this would change the scheduling report's internal file-naming format: a report that would have been saved as 'VegSched_Q3.xlsx' under the old system is now saved as '2027-Q3_VegetationSchedule.xlsx' instead, with no change to who files the reports or how the season is planned.",Did the forestry supervisor intentionally change the scheduling report's internal file-naming format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NEU-02-C,ENV-NEU-02,Environment,NEU,,na,uncommon,low,"The forestry supervisor implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on office staff who file the seasonal scheduling reports. The forestry supervisor knew that this would change the scheduling report's internal file-naming format: the new schedule's tracking software began saving seasonal reports under a different internal file-naming convention than before.",Did the forestry supervisor intentionally change the scheduling report's internal file-naming format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-NEU-02-D,ENV-NEU-02,Environment,NEU,,na,uncommon,high,"The forestry supervisor implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests to reduce wildfire management costs. The forestry supervisor did not care at all about the effect this would have on office staff who file the seasonal scheduling reports. The forestry supervisor knew that this would change the scheduling report's internal file-naming format: a report that would have been saved as 'VegSched_Q3.xlsx' under the old system is now saved as '2027-Q3_VegetationSchedule.xlsx' instead, with no change to who files the reports or how the season is planned.",Did the forestry supervisor intentionally change the scheduling report's internal file-naming format? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the forestry supervisor for this, on a scale from 0 (not at all) to 10 (extremely)?"
ENV-MB-03-A,ENV-MB-03,Environment,MB,,bad,common,low,"The plant manager installed a newer, industry-standard scrubber system widely used by comparable facilities to reduce operating costs by upgrading the plant's emissions-control equipment. The plant manager did not care at all about the effect this would have on residents living near the plant. The plant manager knew that this would raise the plant's particulate emissions above the safety threshold: a subsequent air-quality audit found particulate emissions had risen above the safety threshold.",Did the plant manager intentionally raise the plant's particulate emissions above the safety threshold? Answer on a scale from 0 (not at all intentionally) to 10 (completely intentionally).,"How blameworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?","How praiseworthy is the plant manager for this, on a scale from 0 (not at all) to 10 (extremely)?"
